match_id,first_bat_team,second_bat_team,url,first_bat_team_players,second_bat_team_players
T20I # 489,Australia,India,/series/india-tour-of-australia-2015-16-895801/australia-vs-india-3rd-t20i-895821/full-scorecard,"['Usman Khawaja', 'Shane Watson', 'Shaun Marsh', 'Glenn Maxwell', 'Travis Head', 'Chris Lynn', 'Cameron Bancroft', 'Andrew Tye', 'Cameron Boyce', 'Scott Boland', 'Shaun Tait']","['Rohit Sharma', 'Shikhar Dhawan', 'Virat Kohli', 'Suresh Raina', 'Yuvraj Singh', 'MS Dhoni', 'Hardik Pandya', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Jasprit Bumrah', 'Ashish Nehra']"
T20I # 488,Scotland,Hong Kong,/series/scotland-tour-of-hong-kong-2015-16-952169/hong-kong-vs-scotland-2nd-t20i-953105/full-scorecard,"['George Munsey', 'Kyle Coetzer', 'Matthew Cross', 'Matt Machan', 'Richie Berrington', 'Preston Mommsen', 'Calum MacLeod', 'Rob Taylor', 'Safyaan Sharif', 'Mark Watt', 'Brad Wheal']","['Jamie Atkinson', 'Anshy Rath', 'Babar Hayat', 'Mark Chapman', 'Nizakat Khan', 'Kinchit Shah', 'Tanwir Afzal', 'Aizaz Khan', 'Waqas Barkat', 'Haseeb Amjad', 'Nadeem Ahmed']"
T20I # 487,Scotland,Hong Kong,/series/scotland-tour-of-hong-kong-2015-16-952169/hong-kong-vs-scotland-1st-t20i-953103/full-scorecard,"['George Munsey', 'Kyle Coetzer', 'Matthew Cross', 'Matt Machan', 'Richie Berrington', 'Preston Mommsen', 'Calum MacLeod', 'Rob Taylor', 'Safyaan Sharif', 'Brad Wheal', 'Mark Watt']","['Jamie Atkinson', 'Anshy Rath', 'Babar Hayat', 'Mark Chapman', 'Nizakat Khan', 'Waqas Barkat', 'Haseeb Amjad', 'Nadeem Ahmed', 'Aizaz Khan', 'Kinchit Shah', 'Tanwir Afzal']"
T20I # 486,India,Australia,/series/india-tour-of-australia-2015-16-895801/australia-vs-india-2nd-t20i-895819/full-scorecard,"['Rohit Sharma', 'Shikhar Dhawan', 'Virat Kohli', 'MS Dhoni', 'Suresh Raina', 'Yuvraj Singh', 'Hardik Pandya', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Jasprit Bumrah', 'Ashish Nehra']","['Aaron Finch', 'Shaun Marsh', 'Chris Lynn', 'Glenn Maxwell', 'Shane Watson', 'Matthew Wade', 'James Faulkner', 'John Hastings', 'Andrew Tye', 'Scott Boland', 'Nathan Lyon']"
T20I # 485,India,Australia,/series/india-tour-of-australia-2015-16-895801/australia-vs-india-1st-t20i-895817/full-scorecard,"['Rohit Sharma', 'Shikhar Dhawan', 'Virat Kohli', 'Suresh Raina', 'MS Dhoni', 'Yuvraj Singh', 'Hardik Pandya', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Jasprit Bumrah', 'Ashish Nehra']","['Aaron Finch', 'David Warner', 'Steven Smith', 'Travis Head', 'Chris Lynn', 'Shane Watson', 'Matthew Wade', 'James Faulkner', 'Kane Richardson', 'Cameron Boyce', 'Shaun Tait']"
T20I # 484,Zimbabwe,Bangladesh,/series/zimbabwe-tour-of-bangladesh-jan-2016-2015-16-958411/bangladesh-vs-zimbabwe-4th-match-958421/full-scorecard,"['Vusi Sibanda', 'Hamilton Masakadza', 'Richmond Mutumbami', 'Malcolm Waller', 'Sikandar Raza', 'Elton Chigumbura', 'Peter Moor', 'Luke Jongwe', 'Tendai Chisoro', 'Neville Madziva', 'Graeme Cremer']","['Tamim Iqbal', 'Soumya Sarkar', 'Sabbir Rahman', 'Imrul Kayes', 'Shakib Al Hasan', 'Mahmudullah', 'Nurul Hasan', 'Mashrafe Mortaza', 'Abu Hider', 'Arafat Sunny', 'Taskin Ahmed']"
T20I # 483,New Zealand,Pakistan,/series/pakistan-tour-of-new-zealand-2015-16-914187/new-zealand-vs-pakistan-3rd-t20i-914225/full-scorecard,"['Martin Guptill', 'Kane Williamson', 'Colin Munro', 'Corey Anderson', 'Ross Taylor', 'Grant Elliott', 'Luke Ronchi', 'Mitchell Santner', 'Adam Milne', 'Mitchell McClenaghan', 'Trent Boult']","['Mohammad Hafeez', 'Ahmed Shehzad', 'Mohammad Rizwan', 'Shoaib Malik', 'Sarfaraz Ahmed', 'Umar Akmal', 'Shahid Afridi', 'Imad Wasim', 'Anwar Ali', 'Wahab Riaz', 'Mohammad Amir']"
T20I # 482,Zimbabwe,Bangladesh,/series/zimbabwe-tour-of-bangladesh-jan-2016-2015-16-958411/bangladesh-vs-zimbabwe-3rd-match-958419/full-scorecard,"['Hamilton Masakadza', 'Vusi Sibanda', 'Richmond Mutumbami', 'Sean Williams', 'Malcolm Waller', 'Sikandar Raza', 'Peter Moor', 'Graeme Cremer', 'Brian Vitori', 'Tendai Chisoro', 'Taurai Muzarabani']","['Imrul Kayes', 'Soumya Sarkar', 'Sabbir Rahman', 'Mosaddek Hossain', 'Shakib Al Hasan', 'Mahmudullah', 'Muktar Ali', 'Nurul Hasan', 'Mashrafe Mortaza', 'Mohammad Shahid', 'Abu Hider']"
T20I # 481,Bangladesh,Zimbabwe,/series/zimbabwe-tour-of-bangladesh-jan-2016-2015-16-958411/bangladesh-vs-zimbabwe-2nd-match-958417/full-scorecard,"['Tamim Iqbal', 'Soumya Sarkar', 'Sabbir Rahman', 'Mahmudullah', 'Mushfiqur Rahim', 'Shakib Al Hasan', 'Shuvagata Hom', 'Nurul Hasan', 'Mashrafe Mortaza', 'Al-Amin Hossain', 'Mustafizur Rahman']","['Vusi Sibanda', 'Hamilton Masakadza', 'Richmond Mutumbami', 'Sean Williams', 'Malcolm Waller', 'Peter Moor', 'Neville Madziva', 'Graeme Cremer', 'Wellington Masakadza', 'Taurai Muzarabani', 'Brian Vitori']"
T20I # 480,Pakistan,New Zealand,/series/pakistan-tour-of-new-zealand-2015-16-914187/new-zealand-vs-pakistan-2nd-t20i-914223/full-scorecard,"['Mohammad Hafeez', 'Ahmed Shehzad', 'Sohaib Maqsood', 'Shoaib Malik', 'Umar Akmal', 'Shahid Afridi', 'Imad Wasim', 'Sarfaraz Ahmed', 'Wahab Riaz', 'Umar Gul', 'Mohammad Amir']","['Martin Guptill', 'Kane Williamson', 'Colin Munro', 'Corey Anderson', 'Ross Taylor', 'Grant Elliott', 'Luke Ronchi', 'Mitchell Santner', 'Todd Astle', 'Adam Milne', 'Mitchell McClenaghan']"
T20I # 479,Zimbabwe,Bangladesh,/series/zimbabwe-tour-of-bangladesh-jan-2016-2015-16-958411/bangladesh-vs-zimbabwe-1st-match-958415/full-scorecard,"['Vusi Sibanda', 'Hamilton Masakadza', 'Malcolm Waller', 'Sikandar Raza', 'Elton Chigumbura', 'Luke Jongwe', 'Sean Williams', 'Peter Moor', 'Brian Vitori', 'Wellington Masakadza', 'Graeme Cremer']","['Tamim Iqbal', 'Soumya Sarkar', 'Sabbir Rahman', 'Shuvagata Hom', 'Mushfiqur Rahim', 'Shakib Al Hasan', 'Mahmudullah', 'Nurul Hasan', 'Mashrafe Mortaza', 'Al-Amin Hossain', 'Mustafizur Rahman']"
T20I # 478,Pakistan,New Zealand,/series/pakistan-tour-of-new-zealand-2015-16-914187/new-zealand-vs-pakistan-1st-t20i-914221/full-scorecard,"['Mohammad Hafeez', 'Ahmed Shehzad', 'Sohaib Maqsood', 'Shoaib Malik', 'Umar Akmal', 'Shahid Afridi', 'Imad Wasim', 'Sarfaraz Ahmed', 'Wahab Riaz', 'Umar Gul', 'Mohammad Amir']","['Martin Guptill', 'Kane Williamson', 'Colin Munro', 'Corey Anderson', 'Grant Elliott', 'Luke Ronchi', 'Mitchell Santner', 'Todd Astle', 'Matt Henry', 'Adam Milne', 'Trent Boult']"
T20I # 477,Afghanistan,Zimbabwe,/series/zimbabwe-tour-of-united-arab-emirates-2015-16-953329/afghanistan-vs-zimbabwe-2nd-t20i-953347/full-scorecard,"['Mohammad Shahzad', 'Usman Ghani', 'Asghar Afghan', 'Karim Sadiq', 'Shafiqullah', 'Mohammad Nabi', 'Gulbadin Naib', 'Dawlat Zadran', 'Rashid Khan', 'Amir Hamza', 'Sayed Shirzad']","['Chamu Chibhabha', 'Hamilton Masakadza', 'Richmond Mutumbami', 'Malcolm Waller', 'Sikandar Raza', 'Elton Chigumbura', 'Peter Moor', 'Luke Jongwe', 'Graeme Cremer', 'Tendai Chisoro', 'Donald Tiripano']"
T20I # 476,Sri Lanka,New Zealand,/series/sri-lanka-tour-of-new-zealand-2015-16-914179/new-zealand-vs-sri-lanka-2nd-t20i-914219/full-scorecard,"['Danushka Gunathilaka', 'Tillakaratne Dilshan', 'Shehan Jayasuriya', 'Dinesh Chandimal', 'Angelo Mathews', 'Milinda Siriwardana', 'Kithuruwan Vithanage', 'Thisara Perera', 'Isuru Udana', 'Jeffrey Vandersay', 'Dushmantha Chameera']","['Martin Guptill', 'Kane Williamson', 'Colin Munro', 'Corey Anderson', 'Ross Taylor', 'Grant Elliott', 'Luke Ronchi', 'Mitchell Santner', 'Adam Milne', 'Mitchell McClenaghan', 'Trent Boult']"
T20I # 475,Afghanistan,Zimbabwe,/series/zimbabwe-tour-of-united-arab-emirates-2015-16-953329/afghanistan-vs-zimbabwe-1st-t20i-953345/full-scorecard,"['Mohammad Shahzad', 'Usman Ghani', 'Asghar Afghan', 'Karim Sadiq', 'Mohammad Nabi', 'Gulbadin Naib', 'Najibullah Zadran', 'Mirwais Ashraf', 'Rashid Khan', 'Dawlat Zadran', 'Amir Hamza']","['Peter Moor', 'Hamilton Masakadza', 'Chamu Chibhabha', 'Richmond Mutumbami', 'Malcolm Waller', 'Sikandar Raza', 'Elton Chigumbura', 'Luke Jongwe', 'Graeme Cremer', 'Tendai Chisoro', 'Donald Tiripano']"
T20I # 474,New Zealand,Sri Lanka,/series/sri-lanka-tour-of-new-zealand-2015-16-914179/new-zealand-vs-sri-lanka-1st-t20i-914217/full-scorecard,"['Martin Guptill', 'Kane Williamson', 'Colin Munro', 'Corey Anderson', 'Ross Taylor', 'Grant Elliott', 'Luke Ronchi', 'Matt Henry', 'Mitchell McClenaghan', 'Ish Sodhi', 'Trent Boult']","['Danushka Gunathilaka', 'Tillakaratne Dilshan', 'Dinesh Chandimal', 'Shehan Jayasuriya', 'Angelo Mathews', 'Milinda Siriwardana', 'Thisara Perera', 'Chamara Kapugedera', 'Nuwan Kulasekara', 'Jeffrey Vandersay', 'Suranga Lakmal']"
T20I # 636,New Zealand,West Indies,/series/wi-in-nz-2017-18-1115785/new-zealand-vs-west-indies-1st-t20i-1115798/full-scorecard,"['Martin Guptill', 'Colin Munro', 'Glenn Phillips', 'Tom Bruce', 'Ross Taylor', 'Anaru Kitchen', 'Mitchell Santner', 'Doug Bracewell', 'Tim Southee', 'Ish Sodhi', 'Seth Rance']","['Chadwick Walton', 'Chris Gayle', 'Andre Fletcher', 'Shai Hope', 'Jason Mohammed', 'Rovman Powell', 'Carlos Brathwaite', 'Ashley Nurse', 'Kesrick Williams', 'Jerome Taylor', 'Samuel Badree']"
T20I # 635,Sri Lanka,India,/series/sl-in-india-2017-18-1122718/india-vs-sri-lanka-3rd-t20i-1122731/full-scorecard,"['Niroshan Dickwella', 'Upul Tharanga', 'Kusal Perera', 'Sadeera Samarawickrama', 'Asela Gunaratne', 'Danushka Gunathilaka', 'Thisara Perera', 'Dasun Shanaka', 'Akila Dananjaya', 'Dushmantha Chameera', 'Nuwan Pradeep']","['Rohit Sharma', 'KL Rahul', 'Shreyas Iyer', 'Manish Pandey', 'Hardik Pandya', 'Dinesh Karthik', 'MS Dhoni', 'Washington Sundar', 'Kuldeep Yadav', 'Jaydev Unadkat', 'Mohammed Siraj']"
T20I # 634,India,Sri Lanka,/series/sl-in-india-2017-18-1122718/india-vs-sri-lanka-2nd-t20i-1122730/full-scorecard,"['Rohit Sharma', 'KL Rahul', 'MS Dhoni', 'Hardik Pandya', 'Shreyas Iyer', 'Manish Pandey', 'Dinesh Karthik', 'Kuldeep Yadav', 'Jasprit Bumrah', 'Jaydev Unadkat', 'Yuzvendra Chahal']","['Niroshan Dickwella', 'Upul Tharanga', 'Kusal Perera', 'Thisara Perera', 'Asela Gunaratne', 'Sadeera Samarawickrama', 'Chaturanga de Silva', 'Akila Dananjaya', 'Dushmantha Chameera', 'Nuwan Pradeep', 'Angelo Mathews']"
